ADMIN_CODE,LAND_USE_EN,LAND_USE_FR,POP_2015
HT0633-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,10847
HT0122-04,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",12167
HT0732-07,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",8485
HT0741-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",8155
HT0743-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",8946
HT0113-05,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",7377
HT0743-02,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",4234
HT0321-01,North Tubers and Horticulture,Nord tubercules et horticulture,6247
HT0132-04,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",16009
HT0211-08,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,5046
HT0715-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",14837
HT0722-02,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",5696
HT0753-02,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",5714
HT0723-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",15385
HT0732-05,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",7098
HT0742-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",10079
HT0742-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",6995
HT0222-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",1743
HT0832-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",6612
HT0934-06,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,8679
HT0322-03,North Tubers and Horticulture,Nord tubercules et horticulture,10294
HT0113-06,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",8857
HT0921-02,North Tubers and Horticulture,Nord tubercules et horticulture,17783
HT0932-03,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,6902
HT0331-06,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,5571
HT0714-01,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",9583
HT0911-02,North Tubers and Horticulture,Nord tubercules et horticulture,9191
HT0311-02,North Tubers and Horticulture,Nord tubercules et horticulture,121706
HT0213-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,15414
HT0352-03,North Tubers and Horticulture,Nord tubercules et horticulture,13288
